,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
0,Dr. G S Dharmesh,AGRA CANTT. (SC),BJP,1,Graduate Professional,43597778,0
1,Purushottam Khandelwal,AGRA NORTH,BJP,0,10th Pass,11789777,0
2,Baby Rani Maurya,AGRA RURAL (SC),BJP,0,Post Graduate,28672774,0
3,Yogendra Upadhyaya,AGRA SOUTH,BJP,4,Post Graduate,45622250,0
4,Tribhuwan Ram,AJAGARA (SC),BJP,1,Graduate Professional,145724828,11700000
5,Ram Achal Rajbhar,AKBARPUR,SP,4,Graduate,16817299,0
6,Pratibha Shukla,AKBARPUR-RANIYA,BJP,1,Post Graduate,46446927,270386
7,Tribhuwan Dutt,ALAPUR (SC),SP,1,12th Pass,39689413,10450902
8,Satyapal Singh Rathore,ALIGANJ,BJP,1,10th Pass,75005001,0
9,Mukta Raja,ALIGARH,BJP,0,12th Pass,15974190,4794000
10,Harshvardhan Bajpai,ALLAHABAD NORTH,BJP,2,Graduate Professional,86702441,5370184
11,Nand Gopal Gupta (Nandi),ALLAHABAD SOUTH,BJP,7,12th Pass,373206000,50828000
12,Sidharth Nath Singh,ALLAHABAD WEST,BJP,0,Graduate,323897885,76035288
13,Hariom,AMANPUR,BJP,0,12th Pass,21921218,427000
14,Maharaji Prajapati,AMETHI,SP,0,Literate,95592804,24549391
15,Sushil Kumar Shakya,AMRITPUR,BJP,0,12th Pass,29088254,3105000
16,Mehboob Ali,AMROHA,SP,1,12th Pass,78672141,3333333
17,Sanjay Kumar Sharma,ANUPSHAHR,BJP,0,Post Graduate,35186343,6404523
18,Dharmpal Singh,AONLA,BJP,1,Post Graduate,29367373,0
19,Amitabh Bajpai,ARYA NAGAR,SP,2,Post Graduate,66012508,1509769
20,Pinki Singh,ASMOLI,SP,1,Graduate Professional,69990957,2770806
21,Sandeep Kumar Singh,ATRAULI,BJP,0,Post Graduate,144657223,0
22,Dr. Sangram,ATRAULIYA,SP,5,Post Graduate,30383322,0
23,Dinanath Bhashkar,AURAI (SC),BJP,2,Post Graduate,70099019,5245000
24,Gudiya Katheriya,AURAIYA (SC),BJP,0,8th Pass,1075000,0
25,Vikas Gupta,AYAH SHAH,BJP,0,Post Graduate,323997588,123191949
26,Ved Prakash,AYODHYA,BJP,0,Graduate,55300914,1286050
27,Durga Prasad Yadav,AZAMGARH,SP,3,Graduate Professional,224022739,1211494
28,Vinod Kumar,BABAGANJ (SC),Jansatta Dal Loktantrik,2,Post Graduate,38216704,8958
29,Vishambhar Singh,BABERU,SP,1,Post Graduate,76265268,520000
30,Rajeev Singh (Parichha),BABINA,BJP,2,10th Pass,93257588,6924019
31,Shyam Sunder,BACHHRAWAN (SC),SP,1,10th Pass,6416150,0
32,Mahesh Chandra Gupta,BADAUN,BJP,0,10th Pass,54273463,2887978
33,Ramesh Chandra Mishra,BADLAPUR,BJP,0,10th Pass,24220176,0
34,Yogesh Dhama,BAGHPAT,BJP,3,Graduate,210528303,28452700
35,Rani Pakshalika Singh,BAH,BJP,0,Graduate,584850043,2985069
36,Ataur Rehman,BAHERI,SP,1,Others,39206274,0
37,Anupma Jaiswal,BAHRAICH,BJP,0,Post Graduate,53971873,176662
38,Jai Prakash Anchal,BAIRIA,SP,1,Post Graduate,22821706,285000
39,Yogesh Shukla,BAKSHI KAA TALAB,BJP,0,12th Pass,11181533,0
40,Rampal Verma,BALAMAU (SC),BJP,1,Post Graduate,47404734,1251595
41,Puran Prakash,BALDEV (SC),BJP,0,Graduate Professional,99818000,1904000
42,Saroj Sonkar,BALHA (SC),BJP,0,Post Graduate,28946401,1228692
