,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
0,MUHAMMAD GAZI,AFZALGARH,BSP,0,8th Pass,472289,600000
1,VIRENDRA SINGH SIROHI,AGOTA,BJP,0,Graduate Professional,3136650,60000
2,JULFIKAR AHMED BHUTTO,AGRA CANTONMENT,BSP,0,12th Pass,11526090,29900000
3,JAGAN PRASHAD GARG,AGRA EAST,BJP,0,Graduate,13425276,2383830
4,GUTEYARI LAL DUVES,AGRA WEST,BSP,0,Not Given,2057097,0
5,VIRENDRA KUMAR,AHIRORI,BSP,0,Graduate,10929000,1100000
6,ASHOK KUMAR,AJITMAL,BSP,0,Graduate,635412,0
7,RAM ACHAL RAJBHAR,AKBARPUR,BSP,1,Graduate,11624477,0
8,AVADHPAL SINGH YADAV,ALIGANJ,BSP,4,10th Pass,10412000,0
9,ZAMIR ULLAH,ALIGARH,SP,0,Not Given,600000,0
10,ANUGRAH NARAYAN SINGH,ALLAHABAD NORTH,INC,1,Graduate Professional,2772143,0
11,Nand Gopal  Gupta,ALLAHABAD SOUTH,BSP,0,10th Pass,153268727,81376593
12,POOJA PAL,ALLAHABAD WEST,BSP,1,8th Pass,355000,0
13,AMITA SINGH,AMETHI,INC,0,Post Graduate,64805365,0
14,MEHBOOB ALI,AMROHA,SP,4,Literate,3120023,89225
15,GAJENDRA SINGH,ANUPSHAHR,BSP,0,Not Given,15214673,0
16,RADHA KRISHNA,AONLA,BSP,0,Graduate,22700000,0
17,IRFAN SOLANKI,ARYANAGAR,SP,0,12th Pass,9298709,0
18,PREMLATA DEVI,ATRAULI,BJP,0,Graduate,48411363,0
19,SURENDRA PRASAD MISHRA,ATRAULIA,BSP,0,12th Pass,7835500,1390000
20,RANG NATH MISHRA,AURAI,BSP,0,Graduate,11484000,572000
21,SHAKHAR,AURAIYA,BSP,2,Graduate,3244000,0
22,LALLU SINGH,AYODHYA,BJP,1,Post Graduate,5492239,1051693
23,DURGA PRASAD YADAV,AZAMGARH,SP,1,Graduate Professional,10461322,0
24,VISHAMBHAR SINGH YADAV,BABERU,SP,3,Post Graduate,12752158,160000
25,RATAN LAL AHIRWAR,BABINA,BSP,7,Graduate,2503500,0
26,RAJA RAM,BACHHRAWAN,INC,1,Graduate,1219811,165943
27,KAUKAB HAMEED KHAN,BAGHPAT,RLD,0,Graduate,59895327,74809
28,PANKAJ KUMAR,BAGHRA,INC,0,Graduate,8455842,1007240
29,MADHUSDAN SHARMA,BAH,BSP,0,8th Pass,36613133,2000000
30,CHHATRA PAL SINGH,BAHERI,BJP,0,Post Graduate,3798700,332000
31,AQEEL-UR-RAHMAN KHAN,BAHJOI,BSP,0,Post Graduate,7360661,375000
32,DR. VIQAR AHMED SHAH,BAHRAICH,SP,0,Graduate Professional,15480670,150000
33,MANJU,BALLIA,BSP,1,8th Pass,3560000,0
34,DHIRENDRA PRATAP SINGH,BALRAMPUR,BSP,29,Post Graduate,3950000,0
35,VIVEK KUMAR SINGH,BANDA,INC,0,Graduate Professional,12545305,1600000
36,KULDEEP SINGH SENGAR,BANGARMAU,SP,0,Graduate,3623144,0
37,SHIV SHANKER,BANSDIH,BSP,0,10th Pass,1660000,50000
38,SADAL  PRASAD,BANSGAON,BSP,0,Post Graduate,1215000,0
39,LAL JI YADAV,BANSI,SP,4,12th Pass,865130,0
40,UDAIBHAN KARWARIA,BARA,BJP,1,Graduate Professional,21857520,0
41,THA JAIVEER SINGH,BARAULI,BSP,2,Post Graduate,28596195,603202
42,VIRENDRA SINGH,BAREILLY CANTONMENT,BSP,1,Post Graduate,8430174,647964
43,RAJESH AGARWAL,BAREILLY CITY,BJP,0,Graduate,9431687,1020026
44,RAM PRASAD JAISAWAL,BARHAJ,BSP,0,8th Pass,5268412,0
45,SUKH LAL,BARKHERA,BJP,0,Post Graduate,6495713,165511
46,SATYANDRA,BARNAWA,RLD,2,Graduate,3919295,419048
47,RAVINDRA NATH TRIPATHI,BARSATHI,BSP,0,Graduate,11349000,0
48,JEETENDRA KUMAR,BASTI,BSP,0,12th Pass,16462363,1125000
49,RAJESWARI,BAWAN,BSP,0,5th Pass,440000,0
50,MAHENDRA KUMAR SINGH,BEHTA,SP,0,12th Pass,11807632,253126
51,RAM PAL VERMA,BENIGANJ,BSP,2,Post Graduate,3415000,500000
52,JAGDISH NARAIN,BEYALSI,BSP,1,Graduate Professional,8237339,1209455
53,ARCHANA SAROJ,BHADOHI,BSP,0,Graduate,4880732,0
54,KRIPA SHANKAR SINGH,BHAGWANTNAGAR,BSP,0,Post Graduate,15277962,0
55,MULAYAM SINGH YADAV,BHARTHANA,SP,0,Post Graduate,23645849,92082
56,KAMESWAR UPADHYAY,BHATPAR RANI,SP,0,Literate,12555754,0
57,DADDAN,BHINGA,BSP,1,Post Graduate,4260719,21365
58,RAGHU NATH PRASAD,BHOGNIPUR,BSP,1,Graduate Professional,3234251,100000
59,SHAZIL ISLAM ANSARI,BHOJIPURA,BSP,2,Graduate Professional,3713350,684000
60,ALOK KUMAR,BHONGAON,SP,0,Graduate,1754016,0
61,DHANI RAM,BIDHUNA,SP,0,Post Graduate,5407000,0
62,VINOD KUMAR,BIHAR,IND,0,Post Graduate,1501622,0
63,SHAHNAWAZ S/O BADRUJAMA,BIJNOR,BSP,7,Graduate Professional,20229170,0
64,JITENDRA KUMAR BABLU BHAIYA,BIKAPUR,BSP,12,12th Pass,2382894,0
65,SANJAY KAPOOR,BILASPUR,INC,0,Graduate Professional,21626000,1057000
66,UPRENDA TIWARI,BILGRAM,BSP,1,Graduate,32501982,7100000
67,KAMLESH CHANDRA,BILHAUR,BSP,0,Post Graduate,6625000,300000
68,YOGENDRA SAGAR URF ANU,BILSI,BSP,0,Not Given,6214000,300000
69,RAM SEVAK SINGH,BINAWAR,Bharatiya Jan Shakti,0,12th Pass,5871300,1000000
70,SUKHDEV PRASAD VERMA,BINDKI,BSP,0,8th Pass,8689102,0
71,RAM SIROMANI SHUKLA,BIRAPUR,BSP,0,Graduate Professional,886771,150000
72,ANIS AHMAD KHAN URF PHOOL BABU,BISALPUR,BSP,0,Graduate,4709745,1545296
73,UMLESH YADAV,BISAULI,Rashtriya Parivartan Dal,0,5th Pass,144224641,0
74,NIRMAL VERMA,BISWAN,BSP,0,Graduate,3893155,40000
75,MAHESH CHANDRA,BUDAUN,BJP,0,12th Pass,6779930,1159879
76,MO. ALEEM KHAN,BULANDSHAHR,BSP,2,Literate,3063969,637136
77,RAM PRASAD CHAUDHARY,CAPTAINGANJ,BSP,3,Others,4800000,0
78,DAYA RAM,CHAIL,BSP,0,Graduate,4091985,1062918
79,JITENDRA KUMAR,CHAKIA,BSP,0,Graduate Professional,237000,0
80,VINOD KUMAR,CHANDA,BSP,0,Graduate Professional,6201235,0
81,SHARDA PRASAD,CHANDAULI,BSP,0,Literate,3545000,0
82,GIRISH CHANDRA,CHANDAUSI,BSP,1,Not Given,2765198,0
83,IQBAL,CHANDPUR,BSP,0,12th Pass,3451000,1400000
84,DR. AJAY TOMAR,CHAPRAULI,RLD,0,Graduate Professional,9285460,135215
85,SHABBIR AHMAD,CHARDA,SP,0,12th Pass,1789106,2934
86,ANIL KUMAR,CHARKHARI,BSP,0,Post Graduate,1049966,0
87,ANIL KUMAR,CHARTHAWAL,BSP,0,12th Pass,4381000,300000
88,PRATIBHA SHUKLA,CHAUBEPUR,BSP,0,Post Graduate,13659759,0
89,SURYBHAN,CHHANVEY,BSP,0,12th Pass,829800,41700
90,LAXMI NARAYAN,CHHATA,BSP,0,Post Graduate,15829909,259778
91,ARVIND SINGH,CHHIBRAMAU,SP,0,12th Pass,6384239,15000000
92,SANATAN,CHILKAHAR,SP,0,12th Pass,10336481,4700000
93,RAJESH TRIPATHI,CHILLUPAR,BSP,0,Graduate,640332,148650
94,UDAI LAL MAURYA,CHIRAIGAON,BSP,0,10th Pass,3416035,175000
95,OM PRAKASH SINGH,CHUNAR,BJP,0,Graduate Professional,15672297,0
96,AJAY PRATAP SINGH   ALIS  LALLA BAIYA,COLONELGANJ,INC,5,Graduate Professional,318619703,10318645
97,AVADHESH KUMAR VERMA,DADRAUL,BSP,1,Graduate,3463211,746214
98,SATVEER SINGH GURJAR,DADRI,BSP,0,10th Pass,251499,400000
99,AJAY PAL SINGH,DALMAU,INC,0,Post Graduate,50957759,21085825
100,RAJEEV KUMAR SINGH,DARIYABAD,SP,0,8th Pass,5723961,0
101,SINOD KUMAR SHAKYA (DEEPU BHAIYA),DATAGANJ,BSP,1,Graduate,960000,0
102,DR.DHARMPAL SINGH,DAYALBAGH,Jan Morcha,0,Doctorate,13470500,326511
103,SHRI BHAGWAN SHARMA,DEBAI,BSP,4,10th Pass,10800209,27500
104,MANOJ CHAUDHARY,DEOBAND,BSP,0,12th Pass,7196268,1337355
105,DEENANATH KUSHWAHA,DEORIA,SP,0,Not Given,2382000,60000
106,MAHESH CHANDRA,DERAPUR,BSP,1,Post Graduate,3020000,184717
107,ASHOK KUMAR RANA,DHAMPUR,BSP,0,12th Pass,14154724,1300000
108,SUSHIL KUMAR,DHANAPUR,BSP,14,12th Pass,10365260,347859
109,AWASTHI BALA PRASHAD,DHAUREHRA,BSP,0,Post Graduate,1336500,500000
110,RAJENDRA SINGH URF PAHALWAN SINGH,DHURIAPAR,SP,3,8th Pass,5630328,0
111,PASHUPATI,DILDARNAGAR,BSP,3,Graduate,2724809,90145500
112,RAMESH CHANDRA,DIXIR,BSP,1,Graduate,251765,200000
113,SUBHASH,DOABA,BSP,0,12th Pass,2215000,0
114,TAUFIQUE AHMAD,DOMARIAGANJ,BSP,1,Graduate,1215700,350000
115,CHANDRA MANI PRASAD,DUDHI,BSP,0,Post Graduate,4321559,1115221
116,PRAJAPALAN,ETAH,BJP,0,12th Pass,20281131,2341787
117,MAHENDRA SINGH RAJPUT,ETAWAH,SP,0,8th Pass,525000,0
118,NARAYAN SINGH,ETMADPUR,BSP,0,8th Pass,4235129,0
119,KRISHANA KUMAR,FAKHARPUR,BSP,0,12th Pass,1728900,634000
120,VIJAY PAL SINGH,FARIDPUR,BSP,0,Graduate,27069152,1800000
121,VIJAY SINGH,FARRUKHABAD,SP,4,8th Pass,4337193,0
122,RAJENDRA SINGH,FATEHABAD,BJP,0,Post Graduate,16658687,607626
123,RADHESHYAM GUPTA,FATEHPUR,BJP,0,Literate,10323593,0
124,MEETA GAUTAM,FATEHPUR,BSP,0,Post Graduate,3407072,0
125,TH. SURAJPAL SINGH,FATEHPUR SIKRI,BSP,0,10th Pass,13134312,800000
126,VISHVA NATH,FAZILNAGAR,SP,0,Post Graduate,5116614,0
127,NASIR UDDIN,FIROZABAD,BSP,0,Graduate,4382205,0
128,BRIJESH SAURABH,GADWARA,BSP,7,Post Graduate,3670700,600000
129,ALAUDDIN,GAINSARI,BSP,1,8th Pass,6640000,0
130,SURENDRA SINGH PATEL,GANGAPUR,SP,0,Literate,3711914,0
131,HARPAL SINGH,GANGESHWARI,BJP,4,Graduate,2680000,300000
132,RAM SINGH,GANGIRI,BJP,0,10th Pass,2778882,0
133,MADAN CHOUHAN,GARHMUKTESHWAR,SP,0,Graduate,27427287,1984864
134,DEEP NARAYAN SINGH,GAROUTHA,SP,2,Graduate,9157356,0
135,SEEMA,GARWARA,BJP,0,Post Graduate,1904000,190000
136,PRAMOD SINGH,GAURI BAZAR,BSP,0,10th Pass,17201526,247500
137,CHANDRA PRAKASH,GAURIGANJ,BSP,1,Graduate Professional,2422000,120000
138,SALIL VISHNOI,GENERALGANJ,BJP,1,Graduate Professional,9063246,0
139,RAMPRAKASH KUSHWAHA,GHATAMPUR,BSP,0,Doctorate,5916985,0
140,SUNIL KUMAR SHARMA,GHAZIABAD,BJP,0,Post Graduate,4415300,0
141,SAIYYADA SHADAB FATIMA,GHAZIPUR,SP,0,Post Graduate,7096280,1000000
142,JAIVIR SINGH,GHIROR,BSP,0,12th Pass,21901381,0
143,PHAGOO,GHOSI,BSP,2,10th Pass,21224904,200000
144,RAJ KUMAR RAWAT,GOKUL,BSP,0,12th Pass,6250333,0
145,MOH. JALIL KHAN,GONDA,BSP,0,10th Pass,2236224,0
146,SHYAM NARAYAN,GOPALPUR,BSP,1,12th Pass,9993209,0
147,DR. RADHA MOHAN DAS AGRAWAL,GORAKHPUR,BJP,1,Post Graduate,6990946,0
148,PURAN PRAKASH,GOVERDHAN,RLD,0,Graduate Professional,2701770,0
149,AJAY KAPOOR,GOVINDNAGAR,INC,0,Graduate,52898825,0
150,MULAYAM SINGH YADAV,GUNNAUR,SP,0,Post Graduate,23645849,92082
151,VIJAY KUMAR,GYANPUR,SP,10,Graduate,66942347,0
152,SUNDAR LAL LODHI,HADHA,SP,0,Graduate,15480909,0
153,ARVIND GIRI,HAIDERABAD,SP,3,Graduate Professional,4333102,0
154,ARVIND KUMAR SINGH GOPE,HAIDERGARH,SP,3,Graduate Professional,3964402,0
155,DASHARATH PRASAD CHAUHAN,HAINSARBAZAR,SP,0,Post Graduate,765000,62000
156,ASHOK KUMAR SINGH CHANDEL,HAMIRPUR,SP,13,Graduate Professional,11206793,0
157,RAKESH DHAR TRIPATHI,HANDIA,BSP,0,Doctorate,8361850,0
158,DHARAM PAL S/O RAM KISHAN,HAPUR,BSP,0,Not Given,502000,0
159,NARESH CHANDRA AGARWAL,HARDOI,SP,0,Graduate Professional,30276000,73634
160,RAMHET BHARTI,HARGAON,BSP,0,Post Graduate,2431000,62000
161,JAGPAL,HARORA,BSP,0,12th Pass,2723157,0
162,RAJ KISHORE SINGH,HARRAIYA,SP,1,Graduate,6037040,0
163,RADHELAL,HASANGANJ,BSP,0,Post Graduate,1255255,0
164,FERHAT HASAN,HASANPUR,BSP,0,12th Pass,4037614,200000
165,YOGESH VERMA,HASTINAPUR,BSP,2,12th Pass,2427399,50000
166,AYODHYA PRASAD PAL,HASWA,BSP,1,12th Pass,4547167,0
167,RAMAPATI ALIAS RAMAKANT,HATA,BJP,0,Post Graduate,1380000,0
168,RAMVEER UPADHAYAY,HATHRAS,BSP,5,Graduate Professional,19615000,370000
169,BIMLESH SINGH,IGLAS,RLD,0,8th Pass,5999628,0
170,RAM SAGAR AKELA,IKAUNA,BSP,0,Graduate Professional,759608,0
171,CHANDRA BHADRA SINGH,ISSAULI,SP,1,Post Graduate,11053500,800000
172,MATA  PRASAD  PANDEY,ITWA,SP,1,Post Graduate,5172125,1176700
173,RAM SEWAK,JAGDISHPUR,INC,0,Literate,2307821,0
174,ADITYA PANDEY,JAHANABAD,BSP,1,Not Given,7244519,50000
175,TRIBHUWAN DUTT,JAHANGIRGANJ,BSP,0,Post Graduate,4964686,0
176,OM PRAKASH (O.P.SINGH),JAISINGHPUR,BSP,0,Post Graduate,11085000,500000
177,VIJAY KUMAR,JAKHANIA,BSP,0,12th Pass,1832878,0
178,NEERAJ KUSHWAHA,JALALABAD,BSP,0,Graduate,8006500,700000
179,SHER BAHADUR,JALALPUR,BSP,0,12th Pass,3187589,0
180,KUVER SINGH,JALESAR,BJP,1,Graduate,3935000,30000
181,YASHWANT,JANSATH,BSP,0,Post Graduate,6070000,1700000
182,RAM PRAKASH YADAV,JASRANA,IND,11,12th Pass,180000,0
183,SHIV PAL SINGH YADAV,JASWANTNAGAR,SP,0,Graduate,33852917,0
184,JAVED ANSARI,JAUNPUR,SP,0,Graduate Professional,1504504,12000
185,HORAM SINGH,JEWAR,BSP,0,8th Pass,9590000,70000
186,PRADEEP JAIN ADITYA,JHANSI,INC,2,Post Graduate,2408736,0
187,PRAVEEN PATEL,JHUSI,BSP,0,Post Graduate,15182019,624022
188,BHAGELU RAM,KADIPUR,BSP,1,Graduate Professional,5225072,1028628
189,KULDIP SINGH GANGWAR,KAIMGANJ,BSP,2,Post Graduate,7321701,1201782
190,HUKUM SINGH,KAIRANA,BJP,0,Graduate Professional,11352284,0
191,GULAM MOHAMMAD KHAN,KAISERGANJ,BSP,0,Graduate,3328796,404000
192,CHHOTE SINGH,KALPI,BSP,2,Graduate,4060000,0
193,PREMLATA KATIYAR,KALYANPUR,BJP,0,8th Pass,12427756,1126737
194,TAHIR HUSSAIN SIDDIKI,KAMALGANJ,BSP,0,Post Graduate,9916799,500000
195,BALVEER,KANDHLA,BSP,0,Graduate,12042756,0
196,ANIL KUMAR,KANNAUJ,SP,0,Graduate Professional,960000,0
197,SATISH MAHANA,KANPUR CANTONMENT,BJP,1,Graduate,34808062,1758396
198,RIZWAN AHMAD KHAN,KANTH,BSP,0,10th Pass,8967000,0
199,ANAND KUMAR ALIAS COLLECTOR PANDEY,KARCHANA,BSP,0,12th Pass,854374,0
200,SOBARAN SINGH,KARHAL,SP,0,Graduate,17866232,0
201,DINESH PRASHAD,KARWI,BSP,2,10th Pass,4324417,89054
202,HASRATULLA,KASGANJ,BSP,0,12th Pass,11287810,1000000
203,BRAHMA SHANKAR,KASIA,SP,2,Graduate Professional,13181962,0
204,DHARM RAJ NISHAD,KATEHARI,BSP,1,Graduate Professional,3550593,0
205,BAIJ NATH DUBEY,KATRA BAZAR,SP,0,Graduate,7004082,313158
206,AMBIKA,KAURIRAM,BSP,4,10th Pass,12332547,0
207,SULTAN BEG,KAWAR,SP,1,Post Graduate,4034250,0
208,BIRAJU RAM,KERAKAT,BSP,0,Literate,3365916,125000
209,RANAVENDRA PRATAP SINGH URF DHUNNI BHAIYA,KHAGA,BJP,2,12th Pass,4288325,200260
210,SATYA PAL SINGH,KHAIR,RLD,1,Not Given,13295370,1976865
211,BHAGWANDAS,KHALILABAD,BSP,4,Graduate,537602,0
212,LAKHIRAM NAGAR,KHARKHAUDA,BSP,0,10th Pass,84203000,0
213,YOGRAJ SINGH,KHATAULI,BSP,0,Graduate Professional,7293320,0
214,MADAN BHAIYA,KHEKRA,RLD,7,12th Pass,27800267,4624338
215,BHAGWAN SINGH KUSHWAHA,KHERAGARH,BSP,0,Post Graduate,2886171,0
216,MOHAMMAD TABIS KHAN,KHESRAHA,BSP,4,5th Pass,606396,0
217,ANIL KUMAR,KHURJA,BSP,0,Graduate,9350000,0
218,SHAILENDRA YADAV LALAI,KHUTAHAN,SP,0,Graduate,11908890,2037546
219,KM.SANDHYA,KISHNI,SP,0,Post Graduate,7914632,3461196
220,MURLIDHAR,KISHUNPUR,BSP,0,Post Graduate,2682075,0
221,SHAHID MANZOOR,KITHORE,SP,1,Post Graduate,14062854,0
222,MAHENDRA SINGH,KOIL,BSP,1,10th Pass,4826009,1293182
223,AJAY RAI,KOLASLA,BJP,1,Graduate,5199365,0
224,AJAY SINGH,KONCH,BSP,0,12th Pass,560000,1000000
225,AMBIKA CHAUDHARY,KOPACHIT,SP,0,Graduate Professional,18523911,0
226,RAGHURAJ PRATAP SINGH,KUNDA,IND,4,12th Pass,27325559,40797540
227,AKBAR HUSAIN,KUNDERKI,BSP,0,10th Pass,7720110,418814
228,MOHD. JASMIR ANSARI,LAHARPUR,BSP,1,Literate,4068812,0
229,BHEEM RAO AMBEDKAR,LAKHANA,BSP,1,Post Graduate,397000,0
230,DR. KAUSHAL KISHORE,LAKHIMPUR,SP,1,Not Given,5218000,0
231,AMAR MANI,LAKSHMIPUR,SP,6,Post Graduate,10453862,1000000
232,SUKHDEO RAJBHAR,LALGANJ,BSP,0,Graduate Professional,2378034,700000
233,ENGINEER NATHU RAM KUSHWAHA,LALITPUR,BSP,1,Others,2286500,0
234,SURESH CHANDRA TIWARI,LUCKNOW CANTONMENT,BJP,0,Graduate Professional,8529500,671000
235,SURESH KUMAR SRIVASTAVA,LUCKNOW CENTRAL,BJP,0,Graduate Professional,3673730,0
236,VIDYA SAGAR GUPTA,LUCKNOW EAST,BJP,0,Graduate Professional,13865100,183000
237,LAL JI TANDON,LUCKNOW WEST,BJP,0,Graduate,18205856,0
238,SUBHASH PANDEY,MACHHLISHAHR,BSP,0,Post Graduate,50047444,129943
239,RAM PAL RAJVANSHI,MACHHREHTA,SP,2,10th Pass,4641955,0
240,HARI OM,MADHOGARH,BSP,0,Post Graduate,150000,0
241,SRIPATI,MAHARAJGANJ,SP,0,Graduate,1510000,140000
242,NARENDRA SINGH,MAHMUDABAD,SP,0,Graduate Professional,12060242,0
243,RAKESH KUMAR,MAHOBA,BSP,0,Graduate Professional,19751419,335113
244,NAKUL DUBEY,MAHONA,BSP,0,Graduate Professional,2982413,16840
245,SURESHWAR SINGH,MAHSI,BJP,4,12th Pass,2774488,3080799
246,ASHOK SINGH CHAUHAN,MAINPURI,BJP,0,12th Pass,1887671,400000
247,DR. RAMESH CHAND BIND,MAJHWA,BSP,4,8th Pass,2796900,158724
248,GAURI SHANKAR,MALIHABAD,SP,0,Doctorate,12453704,7701902
249,KRISHNA KUMAR SINGH ALIAS SATISH VERMA,MALLAWAN,BSP,1,Graduate,13171209,786273
250,DADDU PRASHAD,MANIKPUR,BSP,2,Others,5740334,0
251,VIJAY BAHADUR YADAV,MANIRAM,BJP,0,12th Pass,4623500,0
252,INDRAJEET SAROJ,MANJHANPUR,BSP,0,Graduate,7211080,366548
253,RAM BISHUN AZAD,MANKAPUR,SP,0,Graduate Professional,5423656,100000
254,DR. K.K. SACHAN,MARIAHU,BSP,0,Doctorate,8459619,0
255,FAREED MAHFOOZ KIDWAI,MASAULI,BSP,0,Post Graduate,9026815,502869
256,SHYAM SUNDER SHARMA,MAT,Akhil Bhartiya Loktantrik Congress,0,5th Pass,168000,0
257,PRDEEP MATHUR,MATHURA,INC,4,Graduate Professional,9437051,651225
258,MUKHTAR ANSARI,MAU,IND,13,Graduate,8219978,0
259,BADSHAH SINGH,MAUDAHA,BSP,6,12th Pass,4387343,414401
260,BHAGWATI PRASAD SAGAR,MAURANIPUR,BSP,0,Graduate Professional,5113439,400000
261,HAJI YAQUB,MEERUT,UPUDF,1,8th Pass,9863457,0
262,SATYAPRAKASH AGARWAL,MEERUT CANTONMENT,BJP,0,8th Pass,14367500,208883
263,VIDYA CHAUDHARY,MEHNAGAR,BSP,0,Post Graduate,4538098,1175017
264,PT. RAM KUMAR TIWARI,MEHRONI,BSP,4,Graduate,3491896,575
265,RAJ BALI JAISAL,MEJA,BSP,0,Graduate Professional,1607835,0
266,ABDUL KALAM,MENHDAWAL,SP,0,8th Pass,1981240,1000000
267,ANAND SEN,MILKIPUR,BSP,12,Graduate,11862950,453246
268,KAILASH CHAURASIYA,MIRZAPUR,SP,2,10th Pass,15213550,1525732
269,ANOOP KUMAR,MISRIKH,SP,0,Graduate,19535785,776000
270,RAJPAL SINGH,MODINAGAR,BSP,0,Post Graduate,10206000,500000
271,KRISHNA RAJ,MOHAMDI,BJP,1,Post Graduate,4423240,415000
272,SIBAGTULLA  ANSARI,MOHAMMADABAD,SP,1,Graduate,3377887,0
273,RAJENDRA KUMAR,MOHAMMADABAD GOHNA,BSP,1,Post Graduate,3100000,0
274,NARENDRA SINGH,MOHAMMDABAD,SP,1,Post Graduate,12637000,2400000
275,R.K.CHAUDHARY,MOHANLALGANJ,Rashtriya Swabhimaan Party,0,Graduate Professional,993131,0
276,SANDEEP AGRAWAL,MORADABAD,SP,0,Graduate,23434858,4450208
277,USMANUL HAQ,MORADABAD RURAL,SP,1,10th Pass,1582084,0
278,RAJEEV CHANNA,MORADABAD WEST,BJP,0,10th Pass,3313000,0
279,KADIR RANA,MORNA,RLD,3,Literate,33668919,0
280,CHANDRADEO,MUBARAKPUR,BSP,0,Post Graduate,846000,700000
281,RAM KISHUN,MUGHALSARAI,SP,4,Graduate Professional,4238361,0
282,NANDITA SHUKLA,MUJEHNA,SP,0,Graduate Professional,8518229,1232000
283,MADHO PRASAD,MUNDERA BAZAR,INC,0,8th Pass,690262,0
284,RAJPAL TYAGI,MURADNAGAR,IND,0,Graduate Professional,17264270,0
285,IMRAN MASOOD,MUZAFFARABAD,IND,0,12th Pass,11735000,4849587
286,ASHOK KUMAR KANSAL,MUZAFFARNAGAR,BJP,0,Graduate,2365413,0
287,RAVINDAR KUMAR(MOLHU),NAGAL,BSP,2,10th Pass,24560374,966569
288,DOODHRAM,NAGAR EAST,BSP,0,Literate,646000,0
289,OMWATI DEVI,NAGINA,BSP,0,8th Pass,5603280,0
