,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
0,Manoj Tewari,ALMORA,INC,0,Graduate,"Rs 2,09,24,568 ~ 2 Crore+",Rs 0 ~  
1,Adesh Chauhan,B.H.E.L. RANIPUR,BJP, 1 ,12th Pass,"Rs 1,41,73,497 ~ 1 Crore+","Rs 19,81,636 ~ 19 Lacs+ "
2,Rajendra Singh Bhandari,BADRINATH,INC,0,Post Graduate,"Rs 98,08,768 ~ 98 Lacs+","Rs 10,00,000 ~ 10 Lacs+ "
3,Chandan Ram Dass,BAGESHWAR (SC),BJP,0,Graduate,"Rs 1,24,70,000 ~ 1 Crore+","Rs 6,60,000 ~ 6 Lacs+ "
4,Yashpal Arya,BAJPUR (SC),INC, 1 ,Graduate,"Rs 10,97,64,115 ~ 10 Crore+",Rs 0 ~  
5,Mamta Rakesh,BHAGWANPUR(SC),INC,0,Post Graduate,"Rs 4,88,83,833 ~ 4 Crore+",Rs 0 ~  
6,Ram Singh Kaira,BHIMTAL,BJP,0,Graduate,"Rs 1,37,01,562 ~ 1 Crore+","Rs 9,39,255 ~ 9 Lacs+ "
7,Pritam Singh,CHAKRATA (ST),INC, 3 ,Graduate Professional,"Rs 10,84,96,303 ~ 10 Crore+","Rs 99,27,674 ~ 99 Lacs+ "
8,Kailash Chandra Gahtori,CHAMPAWAT,BJP,0,Graduate,"Rs 10,65,43,567 ~ 10 Crore+",Rs 0 ~  
9,Satpal Maharaj,CHAUBATTAKHAL,BJP,0,12th Pass,"Rs 87,34,13,319 ~ 87 Crore+",Rs 0 ~  
10,Savita Kapoor,DEHRADUN CANTONMENT,BJP,0,12th Pass,"Rs 1,26,18,314 ~ 1 Crore+","Rs 39,34,000 ~ 39 Lacs+ "
11,Vinod Kandari,DEVPRAYAG,BJP,0,Post Graduate,"Rs 1,61,41,372 ~ 1 Crore+","Rs 7,50,054 ~ 7 Lacs+ "
12,Pritam Singh Panwar,DHANOLTI,BJP,0,Graduate,"Rs 3,11,51,385 ~ 3 Crore+","Rs 6,15,091 ~ 6 Lacs+ "
13,Vinod Chamoli,DHARAMPUR,BJP,0,Graduate,"Rs 3,00,61,221 ~ 3 Crore+","Rs 16,19,438 ~ 16 Lacs+ "
14,Harish Singh Dhami,DHARCHULA,INC, 1 ,12th Pass,"Rs 4,55,85,000 ~ 4 Crore+","Rs 2,45,00,000 ~ 2 Crore+ "
15,Vishan Singh,DIDIHAT,BJP, 2 ,Post Graduate,"Rs 2,62,68,231 ~ 2 Crore+","Rs 91,197 ~ 91 Thou+ "
16,Brij Bhushan Gairola,DOIWALA,BJP,0,Post Graduate,"Rs 1,03,93,110 ~ 1 Crore+",Rs 0 ~  
17,Madan Singh Bisht,DWARAHAT,INC,0,Graduate Professional,"Rs 1,02,23,000 ~ 1 Crore+","Rs 1,50,000 ~ 1 Lacs+ "
18,Arvind Pandey,GADARPUR,BJP, 2 ,Graduate,"Rs 1,85,68,223 ~ 1 Crore+",Rs 0 ~  
19,Fakeer Ram,GANGOLIHAT (SC),BJP,0,Literate,"Rs 1,80,27,973 ~ 1 Crore+","Rs 1,28,979 ~ 1 Lacs+ "
20,Suresh Singh Chauhan,GANGOTRI,BJP,0,12th Pass,"Rs 11,50,000 ~ 11 Lacs+",Rs 0 ~  
21,Shakti Lal Shah,GHANSHALI (SC),BJP,0,12th Pass,"Rs 31,93,000 ~ 31 Lacs+","Rs 2,00,000 ~ 2 Lacs+ "
22,Sumit Hridayesh,HALDWANI,INC, 6 ,Graduate,"Rs 10,84,97,086 ~ 10 Crore+","Rs 26,47,583 ~ 26 Lacs+ "
23,Madan Kaushik,HARIDWAR,BJP,0,Graduate Professional,"Rs 6,78,37,298 ~ 6 Crore+","Rs 52,29,132 ~ 52 Lacs+ "
